#{"t_start": 1653365178.2220185, "env_id": null}
r,l,t
0.0,2,5.179645
0.0,1,5.188115
0.0,2,5.199105
0.0,4,5.213744
0.0,5,5.231039
0.0,3,5.241894
1.0,6,5.259122
0.0,1,5.267444
0.0,2,5.278066
0.0,1,5.286277
0.0,1,5.294411
0.0,3,5.306802
0.0,1,5.314892
0.0,1,5.323152
0.0,1,5.331805
0.0,1,5.341035
0.0,3,5.353493
0.0,3,5.366085
0.0,2,5.375668
0.0,2,5.387084
0.0,3,5.398271
0.0,2,5.409405
0.0,2,5.418781
0.0,2,5.429047
0.0,2,5.438211
1.0,5,5.454403
0.0,2,5.465725
0.0,1,5.4744
0.0,1,5.482237
0.0,1,5.491684
0.0,3,5.504807
0.0,1,5.513042
0.0,6,5.530562
0.0,2,5.542254
1.0,4,5.556655
0.0,3,5.56855
0.0,3,5.579813
0.0,4,5.593825
0.0,3,5.60537
0.0,3,5.617085
0.0,2,5.626818
0.0,3,5.63948
0.0,1,5.648186
0.0,1,5.657239
0.0,3,5.668716
0.0,2,5.679008
1.0,8,5.698123
0.0,1,5.707398
0.0,1,5.715677
0.0,1,5.724638
0.0,2,5.734223
0.0,1,5.742974
1.0,6,5.760797
0.0,1,5.770393
0.0,2,5.780157
1.0,5,5.797518
0.0,1,5.805887
0.0,3,5.815182
0.0,2,5.825824
0.0,3,5.838869
1.0,8,5.86164
0.0,2,5.871738
0.0,4,5.88497
0.0,1,5.89336
0.0,3,5.905297
0.0,1,5.91368
0.0,1,5.921273
0.0,1,5.930426
1.0,5,5.945854
1.0,3,5.959845
0.0,1,5.968063
1.0,5,5.983341
0.0,1,5.99175
0.0,1,6.000292
0.0,3,6.010859
0.0,3,6.022349
1.0,7,6.04048
0.0,4,6.054767
0.0,1,6.063309
0.0,2,6.07365
0.0,1,6.081544
0.0,1,6.090343
0.0,1,6.098539
0.0,2,6.108526
0.0,3,6.119228
0.0,3,6.130955
0.0,1,6.138891
1.0,7,6.156617
0.0,1,6.165858
0.0,7,6.183897
0.0,1,6.192666
0.0,1,6.20141
1.0,6,6.219031
0.0,6,6.236402
0.0,2,6.247873
0.0,1,6.25695
0.0,5,6.273084
2.0,10,6.299181
0.0,2,6.308383
0.0,1,6.317573
0.0,2,6.327401
1.0,8,6.348233
0.0,2,6.359375
0.0,3,6.37245
1.0,5,6.385944
2.0,10,6.411473
0.0,2,6.421847
0.0,1,6.431797
0.0,1,6.440509
0.0,3,6.455131
0.0,1,6.463269
0.0,1,6.472055
1.0,9,6.494137
1.0,6,6.510852
0.0,2,6.521495
0.0,5,6.539029
0.0,2,6.549984
0.0,1,6.558364
0.0,1,6.567455
0.0,1,6.575259
0.0,2,6.585563
0.0,3,6.598242
1.0,3,6.610152
0.0,1,6.618472
1.0,4,6.632746
0.0,2,6.643148
1.0,4,6.657316
0.0,1,6.665215
0.0,7,6.683185
1.0,3,6.696254
0.0,2,6.706369
0.0,3,6.719543
0.0,3,6.730676
0.0,1,6.738874
1.0,3,6.750819
0.0,1,6.758683
0.0,1,6.76759
0.0,3,6.779725
0.0,2,6.789833
1.0,9,6.812997
0.0,4,6.825212
3.0,10,6.849836
1.0,4,6.864253
0.0,3,6.876313
0.0,1,6.884875
1.0,4,6.898871
0.0,2,6.909013
0.0,2,6.919898
0.0,8,6.940423
0.0,2,6.950346
0.0,1,6.959186
0.0,1,6.967917
0.0,2,6.97816
0.0,4,6.99096
0.0,2,6.999843
0.0,4,7.013944
0.0,3,7.026672
1.0,5,7.041912
0.0,2,7.051408
0.0,1,7.060091
0.0,2,7.070113
0.0,1,7.078844
0.0,2,7.088473
0.0,1,7.09705
0.0,3,7.109504
0.0,2,7.119764
1.0,4,7.133685
0.0,1,7.142926
0.0,1,7.15162
0.0,1,7.161267
0.0,1,7.169089
0.0,2,7.179892
0.0,3,7.192415
0.0,1,7.201167
0.0,2,7.211303
0.0,3,7.224119
1.0,3,7.236724
0.0,3,7.250588
0.0,1,7.258511
0.0,1,7.266953
0.0,3,7.278045
1.0,6,7.296494
0.0,2,7.306432
0.0,1,7.314756
0.0,6,7.33191
1.0,5,7.348958
1.0,6,7.366554
0.0,1,7.374343
0.0,3,7.387097
0.0,1,7.39556
0.0,2,7.406694
0.0,1,7.415059
0.0,1,7.423617
0.0,4,7.435349
0.0,2,7.446087
0.0,4,7.460781
0.0,6,7.478559
0.0,1,7.486283
0.0,1,7.49393
0.0,2,7.50345
0.0,1,7.513069
1.0,4,7.526627
2.0,7,7.546734
0.0,2,7.556064
0.0,3,7.569251
0.0,1,7.577725
0.0,3,7.590548
0.0,3,7.603507
1.0,6,7.619823
0.0,1,7.627996
0.0,3,7.640331
0.0,5,7.657119
0.0,1,7.665593
0.0,2,7.676467
0.0,1,7.685215
0.0,1,7.694151
1.0,5,7.710009
0.0,2,7.72036
0.0,6,7.738458
1.0,4,7.752693
2.0,6,7.770317
0.0,1,7.779118
1.0,6,7.797184
0.0,7,7.816687
0.0,2,7.826171
0.0,2,7.837578
1.0,4,7.851672
0.0,1,7.860436
0.0,2,7.869954
1.0,7,7.888852
0.0,1,7.897215
0.0,2,7.907391
1.0,7,7.926926
0.0,1,7.936135
0.0,1,7.945051
0.0,1,7.953248
1.0,4,7.96753
0.0,2,7.978721
0.0,1,7.987372
0.0,1,7.995759
1.0,4,8.009544
1.0,5,8.024869
0.0,1,8.033534
0.0,3,8.045898
1.0,7,8.066379
1.0,4,8.080773
0.0,2,8.090197
0.0,7,8.111016
0.0,3,8.123
1.0,4,8.138206
0.0,3,8.150245
0.0,6,8.168414
0.0,1,8.177316
0.0,1,8.185978
0.0,4,8.201168
0.0,1,8.210608
0.0,2,8.222049
0.0,3,8.234154
0.0,1,8.24221
0.0,3,8.25548
1.0,5,8.272095
0.0,2,8.282253
0.0,2,8.291093
1.0,5,8.307329
0.0,1,8.315939
1.0,9,8.340165
0.0,3,8.351986
0.0,2,8.361338
0.0,2,8.370584
0.0,1,8.378536
0.0,1,8.387796
0.0,1,8.395578
0.0,1,8.404153
0.0,3,8.416725
0.0,2,8.426506
0.0,1,8.434013
0.0,6,8.451278
1.0,4,8.465332
0.0,2,8.473908
0.0,1,8.482175
1.0,5,8.49879
0.0,2,8.509565
0.0,1,8.517361
0.0,2,8.527921
0.0,1,8.536432
0.0,2,8.547389
0.0,5,8.56338
0.0,1,8.571207
1.0,5,8.5885
0.0,3,8.600439
0.0,2,8.61111
0.0,3,8.624352
0.0,6,8.642555
0.0,5,8.658759
0.0,1,8.66792
0.0,1,8.67634
1.0,8,8.697478
1.0,4,8.712556
0.0,3,8.725735
0.0,1,8.734806
0.0,2,8.745345
0.0,3,8.757954
0.0,2,8.766871
0.0,1,8.775495
0.0,2,8.785557
0.0,1,8.79405
1.0,7,8.811964
0.0,3,8.824887
0.0,1,8.833124
0.0,3,8.845608
0.0,2,8.854871
1.0,5,8.871349
0.0,1,8.880615
0.0,3,8.892303
0.0,4,8.904536
0.0,3,8.917581
0.0,1,8.925708
0.0,1,8.933475
0.0,1,8.942736
1.0,5,8.959028
0.0,4,8.970777
0.0,3,8.983411
1.0,7,9.002727
0.0,1,9.011463
1.0,4,9.025303
