#{"t_start": 1653469310.1659322, "env_id": null}
r,l,t
1.0,6,8.753725
0.0,2,8.762156
1.0,5,8.780324
0.0,1,8.790605
1.0,7,8.810526
2.0,10,8.839273
1.0,5,8.857903
0.0,3,8.872981
1.0,5,8.891714
0.0,1,8.899741
0.0,3,8.911448
0.0,1,8.922561
1.0,5,8.941254
0.0,1,8.948727
1.0,4,8.963313
2.0,8,8.985823
1.0,5,9.002647
0.0,1,9.010034
1.0,6,9.030854
3.0,12,9.064349
0.0,2,9.072384
1.0,11,9.106623
1.0,4,9.117907
0.0,1,9.128651
2.0,6,9.146606
0.0,2,9.157857
1.0,6,9.17786
0.0,7,9.200531
1.0,5,9.218712
2.0,6,9.239998
0.0,3,9.254047
0.0,1,9.262514
1.0,4,9.27879
1.0,3,9.289817
0.0,1,9.296575
1.0,4,9.313295
0.0,1,9.320702
2.0,8,9.344216
0.0,6,9.361839
0.0,1,9.369068
0.0,5,9.387388
0.0,3,9.39974
2.0,7,9.418777
0.0,3,9.433358
1.0,5,9.452302
0.0,1,9.45944
1.0,7,9.481243
0.0,3,9.492993
0.0,1,9.500996
0.0,3,9.514198
0.0,3,9.528575
2.0,6,9.545929
0.0,3,9.558568
0.0,3,9.572019
0.0,4,9.586324
1.0,4,9.601894
0.0,3,9.613195
0.0,1,9.620999
0.0,3,9.634267
1.0,5,9.651708
1.0,4,9.66805
1.0,7,9.68745
0.0,3,9.700193
1.0,5,9.718489
2.0,7,9.737273
1.0,9,9.76448
1.0,11,9.792412
0.0,12,9.82118
0.0,1,9.828707
0.0,1,9.836082
1.0,7,9.858081
1.0,6,9.88028
0.0,3,9.893246
0.0,3,9.905689
0.0,1,9.912543
0.0,1,9.919775
3.0,10,9.947464
1.0,8,9.971281
0.0,4,9.98551
0.0,3,9.996519
0.0,3,10.009485
1.0,9,10.035526
0.0,1,10.04314
0.0,1,10.052098
0.0,1,10.060001
2.0,11,10.091236
0.0,1,10.101991
1.0,5,10.11888
1.0,4,10.131925
1.0,6,10.154571
1.0,6,10.173342
0.0,3,10.186231
0.0,2,10.198783
0.0,3,10.2114
1.0,6,10.232399
0.0,5,10.250201
1.0,5,10.269635
0.0,3,10.280778
0.0,1,10.289236
1.0,5,10.30842
0.0,1,10.318985
1.0,5,10.336912
1.0,5,10.354614
2.0,8,10.37849
0.0,6,10.396444
2.0,9,10.425132
0.0,1,10.432874
0.0,3,10.448639
1.0,5,10.467521
0.0,2,10.475753
1.0,5,10.494755
0.0,2,10.50639
0.0,3,10.518779
1.0,10,10.545593
0.0,2,10.556947
1.0,10,10.58523
0.0,3,10.596049
0.0,2,10.60624
2.0,9,10.632449
0.0,1,10.639927
1.0,4,10.655772
2.0,7,10.680355
1.0,6,10.700081
1.0,4,10.716327
0.0,2,10.724675
1.0,6,10.745053
0.0,1,10.752866
0.0,1,10.761029
1.0,3,10.775717
1.0,5,10.7927
2.0,9,10.816528
1.0,9,10.843886
1.0,9,10.871171
0.0,3,10.882778
2.0,9,10.90872
0.0,1,10.918314
0.0,1,10.926832
0.0,1,10.935043
0.0,1,10.9427
