#{"t_start": 1651589491.544666, "env_id": null}
r,l,t
1.0,5,6.210846
2.0,10,6.236199
0.0,2,6.24666
0.0,1,6.2552
0.0,1,6.264082
0.0,3,6.277406
0.0,1,6.286018
0.0,1,6.29382
1.0,9,6.316238
1.0,6,6.332599
0.0,2,6.343597
0.0,5,6.36067
0.0,2,6.371684
0.0,1,6.37976
0.0,1,6.388906
0.0,1,6.39641
0.0,2,6.407013
0.0,3,6.419236
1.0,3,6.431812
0.0,1,6.440053
1.0,4,6.454589
0.0,2,6.464503
1.0,4,6.478885
0.0,1,6.486505
0.0,7,6.504426
1.0,3,6.516717
0.0,2,6.527133
0.0,3,6.539998
0.0,3,6.551421
0.0,1,6.559549
1.0,3,6.57174
0.0,1,6.579156
0.0,1,6.588485
0.0,3,6.600419
0.0,2,6.610932
1.0,9,6.633554
0.0,4,6.646247
3.0,10,6.670143
1.0,4,6.68494
0.0,3,6.696774
0.0,1,6.705829
1.0,4,6.719678
0.0,2,6.730697
0.0,2,6.741472
0.0,8,6.762053
0.0,2,6.771792
0.0,1,6.78109
0.0,1,6.789214
0.0,2,6.799804
0.0,4,6.812325
0.0,2,6.821393
0.0,4,6.834919
0.0,3,6.847985
1.0,5,6.862969
0.0,2,6.872591
0.0,1,6.880979
0.0,2,6.890975
0.0,1,6.899498
0.0,2,6.909403
0.0,1,6.917657
0.0,3,6.930498
0.0,2,6.940725
1.0,4,6.954514
0.0,1,6.963508
0.0,1,6.972439
0.0,1,6.981754
0.0,1,6.98992
0.0,2,7.00024
0.0,3,7.013062
0.0,1,7.02137
0.0,2,7.031924
0.0,3,7.044585
1.0,3,7.057591
0.0,3,7.07098
0.0,1,7.078945
0.0,1,7.087019
0.0,3,7.098461
1.0,6,7.11638
0.0,2,7.126678
0.0,1,7.134694
0.0,6,7.152285
1.0,5,7.168957
1.0,6,7.186882
0.0,1,7.194247
0.0,3,7.206868
0.0,1,7.215042
0.0,2,7.22627
0.0,1,7.234399
0.0,1,7.243418
0.0,4,7.254718
0.0,2,7.265532
0.0,4,7.28011
0.0,6,7.29771
0.0,1,7.305373
0.0,1,7.313337
0.0,2,7.322445
0.0,1,7.332259
1.0,4,7.345435
2.0,7,7.365385
0.0,2,7.37415
0.0,3,7.387591
0.0,1,7.395929
0.0,3,7.408631
0.0,3,7.421342
1.0,6,7.438085
0.0,1,7.445805
0.0,3,7.458316
0.0,5,7.474626
0.0,1,7.483541
0.0,2,7.494004
0.0,1,7.502878
0.0,1,7.511666
1.0,5,7.52797
0.0,2,7.53792
0.0,6,7.556422
1.0,4,7.570503
2.0,6,7.588319
0.0,1,7.59697
1.0,6,7.615303
0.0,7,7.634511
0.0,2,7.644305
0.0,2,7.655326
1.0,4,7.669573
0.0,1,7.678239
0.0,2,7.688106
1.0,7,7.70659
0.0,1,7.715152
0.0,2,7.725633
1.0,7,7.745303
0.0,1,7.754127
0.0,1,7.763309
0.0,1,7.771183
1.0,4,7.785699
0.0,2,7.796245
0.0,1,7.805216
0.0,1,7.813431
1.0,4,7.827581
1.0,5,7.842696
0.0,1,7.851713
0.0,3,7.86367
1.0,7,7.884268
1.0,4,7.89812
0.0,2,7.907953
0.0,7,7.928097
0.0,3,7.940628
1.0,4,7.955311
0.0,3,7.967676
0.0,6,7.98541
0.0,1,7.994409
0.0,1,8.002684
0.0,4,8.017615
0.0,1,8.026862
0.0,2,8.038944
0.0,3,8.050691
0.0,1,8.059516
0.0,3,8.072315
1.0,5,8.089114
0.0,2,8.099107
0.0,2,8.108397
1.0,5,8.124248
0.0,1,8.133151
1.0,9,8.157264
0.0,3,8.169488
0.0,2,8.178766
0.0,2,8.188244
0.0,1,8.195887
0.0,1,8.205346
0.0,1,8.213009
0.0,1,8.221762
0.0,3,8.234142
0.0,2,8.244435
0.0,1,8.251693
0.0,6,8.268941
1.0,4,8.282899
0.0,2,8.291629
0.0,1,8.299604
1.0,5,8.315867
0.0,2,8.326322
0.0,1,8.334556
0.0,2,8.344818
0.0,1,8.353826
0.0,2,8.364531
0.0,5,8.380492
0.0,1,8.387892
1.0,5,8.40501
0.0,3,8.416644
0.0,2,8.427578
0.0,3,8.440582
0.0,6,8.459237
0.0,5,8.475066
0.0,1,8.484777
0.0,1,8.492771
1.0,8,8.513798
1.0,4,8.528473
0.0,3,8.542049
0.0,1,8.550874
0.0,2,8.562053
0.0,3,8.574215
0.0,2,8.583397
0.0,1,8.591628
0.0,2,8.601925
0.0,1,8.610334
1.0,7,8.628232
0.0,3,8.640644
0.0,1,8.649265
0.0,3,8.661667
0.0,2,8.671036
1.0,5,8.687443
0.0,1,8.696935
0.0,3,8.708196
0.0,4,8.72111
0.0,3,8.734179
0.0,1,8.742815
0.0,1,8.75019
0.0,1,8.759756
1.0,5,8.77546
0.0,4,8.787639
0.0,3,8.799829
1.0,7,8.819469
0.0,1,8.827804
1.0,4,8.84217
0.0,3,9.637108
2.0,9,9.662064
1.0,4,9.676822
0.0,1,9.686537
0.0,10,9.713025
1.0,5,9.73108
1.0,6,9.748868
0.0,4,9.763833
1.0,6,9.782722
0.0,1,9.791585
0.0,3,9.8031
0.0,2,9.813323
0.0,3,9.825587
1.0,3,9.838116
2.0,8,9.860797
0.0,7,9.880718
1.0,7,9.900771
0.0,5,9.916385
0.0,1,9.924343
0.0,2,9.934058
0.0,1,9.94176
1.0,9,9.964404
0.0,2,9.973653
0.0,3,9.986876
0.0,1,9.995528
1.0,4,10.010525
0.0,3,10.023818
0.0,3,10.036827
0.0,2,10.045927
0.0,8,10.066738
0.0,2,10.077274
0.0,1,10.086654
1.0,4,10.123263
0.0,2,10.137032
0.0,3,10.149655
0.0,1,10.158633
1.0,4,10.170838
0.0,1,10.178987
0.0,8,10.201606
1.0,4,10.217424
0.0,2,10.227783
0.0,2,10.238746
0.0,3,10.250445
0.0,2,10.259537
0.0,3,10.271004
0.0,2,10.281974
0.0,1,10.291429
2.0,7,10.31227
0.0,2,10.322031
0.0,2,10.332473
0.0,2,10.343177
2.0,8,10.366626
1.0,5,10.382528
1.0,4,10.396492
0.0,1,10.404531
0.0,4,10.417496
0.0,4,10.43139
1.0,4,10.44662
2.0,9,10.493564
1.0,4,10.507642
0.0,3,10.518496
0.0,1,10.527423
0.0,3,10.539525
0.0,1,10.547181
0.0,1,10.555246
2.0,8,10.576008
0.0,9,10.61872
1.0,7,10.643365
0.0,2,10.653832
0.0,1,10.662381
0.0,3,10.674581
0.0,1,10.684002
0.0,3,10.69565
0.0,2,10.718117
0.0,3,10.744603
0.0,3,10.75953
0.0,1,10.766921
0.0,1,10.77641
0.0,3,10.788371
1.0,11,10.816283
1.0,5,10.832731
0.0,1,10.841132
0.0,1,10.848936
0.0,1,10.857091
0.0,3,10.868465
0.0,1,10.876716
1.0,8,10.898247
0.0,3,10.910838
0.0,4,10.92486
1.0,4,10.939555
0.0,3,10.952235
0.0,4,10.965814
0.0,3,10.978361
0.0,2,10.987584
0.0,1,10.996549
0.0,3,11.008691
0.0,2,11.017796
0.0,1,11.02709
0.0,1,11.035671
0.0,1,11.043565
0.0,1,11.052195
0.0,2,11.062348
0.0,2,11.071351
0.0,3,11.084614
1.0,5,11.117829
0.0,3,11.137227
0.0,1,11.145494
0.0,1,11.15346
0.0,3,11.165427
0.0,2,11.176142
0.0,2,11.187104
0.0,2,11.196728
0.0,9,11.219823
1.0,7,11.23951
0.0,3,11.251418
0.0,2,11.26185
0.0,4,11.274253
0.0,1,11.28247
1.0,15,11.315655
0.0,2,11.326804
0.0,3,11.338124
