#{"t_start": 1653531679.7720191, "env_id": null}
r,l,t
0.0,1,5.897712
0.0,1,5.905933
0.0,2,5.915737
0.0,3,5.925748
1.0,6,5.942455
0.0,1,5.950106
0.0,2,5.959039
0.0,3,5.969275
0.0,3,5.981052
0.0,5,5.995091
0.0,1,6.005338
1.0,3,6.016354
0.0,1,6.024492
0.0,2,6.033836
0.0,2,6.042333
0.0,2,6.051948
0.0,3,6.062697
0.0,2,6.072528
0.0,1,6.081484
0.0,4,6.093947
0.0,5,6.107198
0.0,3,6.118782
0.0,1,6.126704
0.0,2,6.134993
1.0,3,6.146724
0.0,2,6.155612
1.0,4,6.169367
0.0,3,6.17989
0.0,1,6.187837
0.0,2,6.197844
0.0,2,6.206154
0.0,2,6.215576
0.0,4,6.228214
0.0,5,6.242455
1.0,5,6.256684
0.0,1,6.265404
1.0,7,6.282499
0.0,6,6.29699
0.0,2,6.307651
0.0,1,6.316136
1.0,4,6.328668
0.0,1,6.337197
0.0,3,6.348984
1.0,6,6.365312
0.0,1,6.374162
2.0,7,6.391335
0.0,2,6.401087
0.0,2,6.410455
0.0,3,6.420875
0.0,1,6.428387
0.0,4,6.440829
1.0,5,6.45517
1.0,4,6.467482
0.0,2,6.47607
0.0,2,6.485856
0.0,3,6.497221
0.0,2,6.506226
0.0,1,6.514518
1.0,5,6.528827
1.0,4,6.540689
0.0,1,6.549801
0.0,4,6.561646
0.0,2,6.571581
0.0,1,6.579721
0.0,3,6.591875
0.0,1,6.599383
0.0,3,6.610041
2.0,8,6.625855
0.0,3,6.635724
0.0,3,6.645657
0.0,2,6.655833
0.0,3,6.667349
0.0,2,6.678001
0.0,1,6.685532
0.0,1,6.694215
0.0,2,6.702415
0.0,5,6.717093
0.0,1,6.725267
0.0,1,6.733576
0.0,3,6.744677
0.0,2,6.754912
0.0,2,6.763835
0.0,2,6.772046
0.0,1,6.780868
0.0,2,6.789596
0.0,2,6.799722
0.0,1,6.807997
0.0,2,6.817707
0.0,2,6.826758
0.0,2,6.837037
0.0,5,6.852209
0.0,2,6.860802
0.0,1,6.868242
0.0,1,6.875271
0.0,2,6.88534
0.0,5,6.899894
1.0,4,6.912419
0.0,3,6.923742
0.0,2,6.93269
1.0,5,6.947639
0.0,1,6.955848
0.0,3,6.966333
0.0,4,6.980013
1.0,5,6.99217
0.0,1,7.000055
0.0,2,7.010383
1.0,5,7.024457
0.0,1,7.032543
0.0,2,7.043039
0.0,1,7.051262
0.0,1,7.060359
0.0,2,7.070615
0.0,1,7.079275
1.0,5,7.093506
0.0,2,7.104618
0.0,3,7.114934
0.0,1,7.123464
0.0,3,7.133984
0.0,3,7.144253
0.0,2,7.153341
0.0,2,7.163939
0.0,2,7.173867
0.0,3,7.184485
0.0,2,7.19306
0.0,6,7.209106
0.0,1,7.217038
0.0,2,7.22648
2.0,8,7.243877
0.0,1,7.253157
0.0,1,7.261988
0.0,1,7.270455
0.0,3,7.282494
0.0,2,7.293351
1.0,5,7.307039
0.0,1,7.315755
1.0,4,7.32808
1.0,5,7.341655
0.0,2,7.351137
0.0,4,7.363461
0.0,3,7.374957
1.0,5,7.388162
0.0,2,7.397636
1.0,8,7.416446
0.0,2,7.426311
1.0,5,7.440912
0.0,1,7.449785
0.0,3,7.461429
0.0,1,7.469867
0.0,1,7.478385
0.0,2,7.488921
0.0,3,7.5013
0.0,1,7.510549
0.0,6,7.526456
0.0,1,7.534387
1.0,7,7.552429
0.0,3,7.563519
0.0,2,7.572868
0.0,1,7.580401
2.0,12,7.603329
1.0,5,7.615577
1.0,6,7.630972
0.0,3,7.641327
0.0,1,7.649801
0.0,2,7.65822
0.0,1,7.665883
1.0,4,7.677188
0.0,1,7.685066
0.0,1,7.693483
0.0,4,7.70639
0.0,2,7.71627
0.0,1,7.724321
1.0,6,7.739166
1.0,5,7.752861
0.0,1,7.759896
0.0,1,7.768241
1.0,4,7.781224
0.0,3,7.79192
0.0,1,7.799456
0.0,2,7.809256
0.0,3,7.819591
0.0,2,7.829711
0.0,2,7.839381
0.0,1,7.847231
1.0,5,7.861929
0.0,1,7.871922
0.0,3,7.884336
0.0,3,7.896661
0.0,3,7.907451
0.0,3,7.919453
1.0,8,7.937415
0.0,1,7.945937
1.0,9,7.965277
1.0,5,7.979371
1.0,5,7.993881
0.0,1,8.003531
0.0,5,8.017788
0.0,1,8.02696
0.0,1,8.034636
0.0,2,8.043818
0.0,1,8.051942
0.0,1,8.060545
1.0,4,8.077822
1.0,4,8.098696
0.0,2,8.107136
0.0,2,8.117439
0.0,3,8.125827
1.0,5,8.140723
0.0,2,8.151129
3.0,10,8.172732
0.0,3,8.181652
1.0,5,8.196559
0.0,1,8.204354
0.0,1,8.211817
0.0,2,8.22187
1.0,6,8.236828
0.0,3,8.24687
0.0,2,8.256325
0.0,3,8.266581
0.0,6,8.281219
0.0,1,8.290346
0.0,2,8.300692
2.0,16,8.329042
1.0,7,8.346838
0.0,2,8.356071
0.0,3,8.367149
0.0,3,8.378841
0.0,2,8.389818
0.0,1,8.398701
0.0,3,8.410632
0.0,1,8.418722
0.0,2,8.428661
1.0,7,8.445187
1.0,7,8.460556
0.0,2,8.470943
0.0,2,8.481857
0.0,2,8.491229
1.0,6,8.508171
0.0,3,8.519132
0.0,1,8.527379
0.0,1,8.535439
0.0,1,8.54285
2.0,9,8.561994
0.0,1,8.57059
0.0,3,8.581305
0.0,1,8.589923
0.0,3,8.601761
0.0,3,8.615207
0.0,3,8.626731
0.0,2,8.635375
0.0,1,8.643553
1.0,4,8.657081
0.0,3,8.66746
0.0,3,8.677882
0.0,2,8.687594
0.0,6,8.70167
0.0,1,8.709783
0.0,1,8.718307
0.0,1,8.725642
1.0,9,8.747685
1.0,4,8.761493
0.0,1,8.7702
0.0,2,8.779762
0.0,2,8.789998
0.0,1,8.797206
0.0,1,8.805273
0.0,1,8.81411
1.0,7,8.832616
1.0,6,8.84818
0.0,3,8.857773
0.0,3,8.869166
0.0,2,8.878963
0.0,2,8.889327
0.0,1,8.898193
1.0,4,8.908582
0.0,1,8.917024
0.0,2,8.926454
1.0,9,8.944941
1.0,5,8.958834
0.0,2,8.969595
0.0,1,8.978026
0.0,1,8.986779
0.0,2,8.995559
0.0,3,9.006459
0.0,1,9.013633
0.0,2,9.02221
0.0,2,9.03104
0.0,5,9.046434
1.0,9,9.066113
0.0,1,9.076412
0.0,1,9.08447
0.0,6,9.101551
0.0,2,9.111785
0.0,2,9.122123
0.0,3,9.133796
1.0,7,9.150722
1.0,6,9.166172
0.0,1,9.173235
0.0,4,9.185601
0.0,2,9.196133
0.0,8,9.214751
0.0,6,9.23155
0.0,2,9.239666
0.0,1,9.24778
0.0,2,9.255296
0.0,2,9.265301
0.0,1,9.272954
0.0,2,9.282817
0.0,1,9.291684
0.0,2,9.30153
0.0,3,9.312138
0.0,3,9.324934
1.0,7,9.34097
0.0,6,9.356164
0.0,1,9.363821
0.0,1,9.373113
0.0,3,9.384331
0.0,1,9.392793
0.0,5,9.406089
0.0,4,9.418558
0.0,2,9.426447
0.0,1,9.434917
0.0,1,9.443455
0.0,1,9.451939
0.0,2,9.461953
0.0,3,9.473208
0.0,2,9.483431
0.0,1,9.491595
0.0,2,9.499563
0.0,3,9.509886
0.0,2,9.519962
0.0,2,9.531171
0.0,2,9.540508
0.0,3,9.55109
1.0,6,9.566906
0.0,1,9.576052
0.0,1,9.58447
0.0,1,9.592066
0.0,1,9.599653
0.0,8,9.618377
2.0,12,9.64177
0.0,7,9.656957
1.0,5,9.671537
0.0,2,9.681869
1.0,3,9.692538
0.0,1,9.700356
0.0,2,9.711149
1.0,4,9.724751
0.0,2,9.73331
0.0,2,9.743584
0.0,4,9.755919
0.0,1,9.765374
2.0,9,9.784089
0.0,6,9.800159
1.0,7,9.81697
0.0,2,9.826882
0.0,3,9.838204
1.0,4,9.850645
0.0,2,9.860528
0.0,3,9.871861
1.0,4,9.884001
0.0,3,9.895274
0.0,3,9.905986
0.0,2,9.915461
0.0,2,9.924719
1.0,4,9.937951
0.0,3,9.950702
1.0,6,9.96707
1.0,7,9.984833
0.0,1,9.993912
0.0,1,10.001294
0.0,2,10.011021
1.0,7,10.027414
0.0,2,10.038271
0.0,1,10.047401
0.0,1,10.056215
0.0,3,10.068878
0.0,1,10.077648
1.0,9,10.09988
0.0,2,10.110542
0.0,3,10.122025
0.0,2,10.131223
0.0,8,10.148166
0.0,1,10.158075
0.0,6,10.174057
0.0,3,10.18484
0.0,5,10.197652
0.0,1,10.206083
0.0,3,10.216091
0.0,3,10.229884
0.0,2,10.240682
0.0,1,10.249804
0.0,2,10.259047
0.0,2,10.268163
0.0,3,10.278816
0.0,1,10.289016
0.0,2,10.299051
0.0,2,10.309642
0.0,1,10.318956
1.0,8,10.338578
2.0,9,10.356364
1.0,7,10.37419
0.0,4,10.387091
0.0,1,10.396928
0.0,1,10.406498
0.0,1,10.416274
0.0,2,10.4265
0.0,3,10.438197
0.0,4,10.450122
0.0,2,10.460341
0.0,4,10.473459
0.0,2,10.483783
1.0,5,10.4981
0.0,3,10.509903
3.0,10,10.532207
0.0,3,10.543579
0.0,2,10.552254
0.0,1,10.561642
0.0,1,10.569328
1.0,5,10.581333
0.0,1,10.588667
0.0,3,10.601058
1.0,4,10.613078
0.0,2,10.623827
0.0,1,10.632353
1.0,7,10.647956
1.0,4,10.66112
0.0,1,10.669022
0.0,1,10.676694
0.0,3,10.687731
0.0,2,10.697299
0.0,1,10.705642
0.0,6,10.719827
0.0,6,10.736217
1.0,5,10.750841
0.0,2,10.760193
0.0,2,10.769866
0.0,1,10.778228
0.0,1,10.78647
0.0,2,10.795506
0.0,4,10.80896
0.0,2,10.817572
0.0,1,10.825496
0.0,1,10.833948
0.0,1,10.842289
0.0,1,10.852296
1.0,5,10.865674
1.0,3,10.877174
0.0,1,10.886207
0.0,2,10.895259
2.0,7,10.911135
0.0,4,10.923452
0.0,1,10.931108
0.0,2,10.940329
0.0,7,10.957268
1.0,6,10.972872
0.0,4,10.983897
0.0,1,10.992017
0.0,5,11.005328
0.0,2,11.014977
0.0,4,11.026222
0.0,1,11.034812
0.0,2,11.043818
0.0,1,11.051869
0.0,1,11.059738
1.0,6,11.075342
0.0,1,11.082556
0.0,1,11.090862
0.0,1,11.098773
0.0,1,11.106659
0.0,1,11.113915
0.0,4,11.12855
0.0,3,11.138999
0.0,1,11.147388
0.0,2,11.157522
0.0,4,11.168458
0.0,1,11.175747
0.0,5,11.188666
0.0,3,11.200057
0.0,2,11.209559
0.0,1,11.217505
0.0,6,11.233604
0.0,3,11.244534
0.0,3,11.255513
0.0,2,11.264195
0.0,2,11.272879
0.0,1,11.281254
0.0,3,11.291335
0.0,3,11.30187
0.0,1,11.310849
0.0,2,11.31922
0.0,3,11.32989
0.0,3,11.339784
0.0,1,11.348914
0.0,2,11.35734
1.0,8,11.376934
0.0,1,11.384521
0.0,2,11.395711
0.0,4,11.407323
0.0,2,11.419091
0.0,1,11.426983
0.0,2,11.438642
0.0,1,11.446808
0.0,1,11.455114
0.0,1,11.463606
1.0,5,11.47822
0.0,3,11.488458
0.0,1,11.497156
0.0,4,11.509774
0.0,8,11.528235
1.0,5,11.542817
0.0,1,11.551802
0.0,1,11.560503
0.0,2,11.569695
0.0,4,11.580195
0.0,3,11.590985
0.0,2,11.599094
1.0,7,11.614882
0.0,1,11.622177
0.0,1,11.63143
0.0,1,11.639465
0.0,4,11.652487
0.0,2,11.662245
0.0,3,11.673361
0.0,1,11.68104
0.0,2,11.691147
0.0,2,11.701026
0.0,1,11.709821
0.0,3,11.720388
1.0,4,11.733444
0.0,2,11.742353
0.0,2,11.752719
0.0,2,11.762749
0.0,3,11.774368
1.0,9,11.795723
0.0,3,11.807106
0.0,5,11.821898
0.0,2,11.83219
0.0,2,11.841294
0.0,1,11.849211
0.0,1,11.857125
1.0,7,11.871903
0.0,2,11.881007
0.0,1,11.889374
1.0,5,11.903294
1.0,5,11.91784
0.0,2,11.927195
0.0,2,11.938075
1.0,6,11.953744
1.0,4,11.967345
0.0,2,11.974843
0.0,2,11.985718
0.0,1,11.993207
0.0,2,12.003203
0.0,1,12.011624
0.0,3,12.023646
1.0,9,12.043763
0.0,1,12.052558
0.0,1,12.060595
0.0,1,12.069497
0.0,2,12.079409
0.0,4,12.092051
0.0,2,12.101859
0.0,2,12.112203
1.0,4,12.12392
0.0,1,12.132765
0.0,1,12.14
0.0,1,12.148198
0.0,1,12.156534
0.0,2,12.165233
0.0,4,12.177081
0.0,1,12.185224
0.0,1,12.193947
0.0,2,12.20383
0.0,4,12.216321
0.0,1,12.224652
0.0,1,12.233669
0.0,4,12.245504
