#{"t_start": 1653470172.6610506, "env_id": null}
r,l,t
0.0,2,7.480667
1.0,6,7.500786
0.0,1,7.512076
1.0,4,7.526714
1.0,7,7.550747
1.0,8,7.574187
0.0,2,7.586084
1.0,6,7.607437
1.0,7,7.627589
0.0,1,7.637503
0.0,3,7.649513
0.0,3,7.664718
2.0,15,7.703637
0.0,3,7.714978
0.0,1,7.726225
0.0,2,7.735868
0.0,3,7.751574
0.0,3,7.762363
0.0,1,7.770258
0.0,2,7.782979
1.0,4,7.800203
2.0,8,7.826408
0.0,1,7.834668
1.0,7,7.85877
0.0,1,7.867379
0.0,2,7.877043
1.0,4,7.892532
1.0,4,7.907672
1.0,5,7.925238
1.0,7,7.946165
1.0,9,7.972845
1.0,9,8.002142
0.0,2,8.011098
0.0,1,8.022313
0.0,1,8.030604
0.0,7,8.050837
0.0,3,8.06426
0.0,3,8.075594
0.0,2,8.086962
1.0,8,8.108766
1.0,8,8.135929
0.0,1,8.145326
0.0,4,8.160275
0.0,1,8.169172
0.0,3,8.183996
0.0,6,8.204622
1.0,5,8.223396
0.0,1,8.232806
2.0,9,8.26065
0.0,6,8.281819
0.0,2,8.293492
1.0,5,8.312117
1.0,8,8.333981
0.0,3,8.348146
1.0,5,8.367352
2.0,6,8.388439
0.0,3,8.402507
2.0,9,8.429592
2.0,8,8.457219
0.0,6,8.475426
0.0,2,8.487715
2.0,9,8.515527
0.0,1,8.525879
0.0,2,8.535372
0.0,2,8.545062
1.0,11,8.577599
0.0,1,8.586897
1.0,6,8.607662
1.0,4,8.624343
0.0,2,8.633882
0.0,6,8.652692
0.0,1,8.663048
0.0,2,8.673116
0.0,2,8.68383
1.0,3,8.698698
0.0,3,8.711995
1.0,5,8.72975
0.0,7,8.751512
1.0,4,8.768348
0.0,1,8.776329
0.0,2,8.785198
1.0,3,8.80066
1.0,8,8.826139
1.0,6,8.846109
2.0,10,8.875665
0.0,1,8.884179
0.0,4,8.899808
0.0,1,8.907709
0.0,1,8.916832
0.0,3,8.929763
0.0,3,8.941525
1.0,5,8.95972
0.0,1,8.97129
0.0,3,8.984659
0.0,5,9.00341
1.0,9,9.030361
1.0,6,9.048822
1.0,5,9.067136
0.0,2,9.079467
1.0,3,9.092426
1.0,5,9.112074
0.0,4,9.127128
1.0,8,9.154206
0.0,1,9.162933
2.0,9,9.189902
0.0,2,9.199909
0.0,1,9.207921
0.0,3,9.223062
1.0,6,9.243028
0.0,4,9.259791
0.0,2,9.269439
0.0,1,9.278339
1.0,3,9.293146
0.0,2,9.302954
0.0,1,9.313976
1.0,6,9.333295
0.0,3,9.346211
0.0,1,9.358092
1.0,4,9.371926
0.0,2,9.384865
0.0,4,9.401137
1.0,5,9.418985
0.0,1,9.426839
1.0,7,9.449161
1.0,5,9.46865
0.0,3,9.482173
0.0,3,9.494293
0.0,3,9.50905
1.0,3,9.524183
2.0,11,9.554607
0.0,3,9.565153
0.0,2,9.576965
0.0,1,9.585253
1.0,8,9.614116
2.0,8,9.638618
0.0,1,9.647363
2.0,6,9.668819
0.0,3,9.682018
1.0,6,9.701982
0.0,2,9.713037
1.0,6,9.731301
0.0,2,9.740753
0.0,3,9.75531
0.0,2,9.76495
0.0,1,9.776076
1.0,4,9.789706
0.0,3,9.804586
1.0,7,9.827348
0.0,2,9.838922
1.0,8,9.860693
0.0,3,9.872512
0.0,3,9.886935
1.0,5,9.90618
2.0,7,9.927494
2.0,7,9.950137
0.0,2,9.962178
2.0,8,9.987859
0.0,3,10.000999
0.0,5,10.01708
1.0,7,10.040142
1.0,4,10.056752
0.0,1,10.065114
1.0,5,10.08249
1.0,6,10.105405
0.0,2,10.114987
1.0,5,10.134453
0.0,1,10.143249
1.0,10,10.169236
1.0,4,10.186437
0.0,3,10.201985
1.0,5,10.221437
1.0,5,10.239761
1.0,5,10.258284
0.0,2,10.268267
0.0,3,10.283673
0.0,2,10.293595
1.0,3,10.307167
1.0,4,10.321825
0.0,3,10.336921
0.0,3,10.351373
1.0,4,10.363456
1.0,7,10.387883
0.0,1,10.396247
0.0,1,10.405483
1.0,5,10.425014
0.0,5,10.444589
0.0,3,10.458058
0.0,2,10.467405
1.0,4,10.484321
1.0,5,10.503182
0.0,3,10.518262
0.0,1,10.527143
3.0,10,10.556009
0.0,3,10.569161
0.0,4,10.584534
0.0,3,10.600364
1.0,5,10.620221
3.0,10,10.647743
0.0,3,10.659633
1.0,5,10.678919
0.0,2,10.69172
2.0,7,10.714304
0.0,3,10.7298
2.0,11,10.757073
0.0,3,10.771638
0.0,2,10.781718
1.0,6,10.802944
1.0,4,10.820902
1.0,5,10.83936
0.0,1,10.848741
0.0,1,10.85702
1.0,5,10.875998
1.0,5,10.895173
0.0,3,10.908882
0.0,2,10.917903
1.0,6,10.941539
0.0,3,10.954427
2.0,8,10.982483
0.0,3,10.994895
0.0,3,11.007928
0.0,2,11.01736
0.0,1,11.027991
1.0,3,11.040701
0.0,1,11.048716
0.0,3,11.06172
2.0,8,11.08994
0.0,3,11.10131
2.0,6,11.119352
1.0,8,11.145776
2.0,9,11.17305
0.0,1,11.180573
0.0,1,11.188963
0.0,3,11.204619
0.0,2,11.215554
0.0,1,11.223626
0.0,5,11.242488
0.0,3,11.255965
0.0,3,11.271632
0.0,3,11.284158
0.0,2,11.295753
1.0,6,11.315921
1.0,5,11.334198
2.0,10,11.365247
1.0,8,11.388841
1.0,9,11.416715
0.0,4,11.43448
0.0,2,11.444837
0.0,1,11.455804
0.0,3,11.466357
1.0,11,11.496412
1.0,5,11.515841
2.0,7,11.541316
1.0,6,11.561658
1.0,5,11.580517
0.0,1,11.588854
0.0,1,11.59755
0.0,2,11.609287
0.0,1,11.617656
1.0,4,11.634006
1.0,4,11.651246
0.0,1,11.659433
0.0,3,11.67081
0.0,3,11.684133
0.0,3,11.699604
1.0,7,11.723236
1.0,6,11.745502
0.0,3,11.758326
2.0,7,11.780955
0.0,1,11.789244
0.0,1,11.799604
1.0,3,11.812005
0.0,6,11.83175
0.0,3,11.845371
1.0,6,11.865807
1.0,11,11.898439
1.0,5,11.917537
1.0,4,11.93451
0.0,2,11.94733
1.0,6,11.969207
0.0,3,11.983021
0.0,1,11.994627
0.0,3,12.007399
1.0,6,12.028672
1.0,3,12.044203
1.0,4,12.060917
1.0,7,12.084701
1.0,4,12.10005
0.0,2,12.110264
0.0,2,12.123294
0.0,3,12.13468
1.0,3,12.149573
0.0,3,12.164348
0.0,8,12.188683
1.0,5,12.209431
0.0,4,12.225367
0.0,2,12.234771
1.0,4,12.248158
0.0,2,12.259589
2.0,8,12.284315
0.0,7,12.306131
0.0,3,12.318757
0.0,2,12.331801
1.0,6,12.351766
1.0,5,12.371957
0.0,3,12.384925
0.0,3,12.39858
0.0,3,12.413153
2.0,9,12.440769
1.0,10,12.470311
0.0,3,12.485214
0.0,2,12.495929
1.0,4,12.512951
0.0,1,12.521457
1.0,4,12.537482
0.0,1,12.545282
1.0,7,12.56976
1.0,6,12.590827
0.0,1,12.600493
0.0,3,12.61465
1.0,4,12.631045
0.0,3,12.640657
0.0,3,12.654705
0.0,3,12.666061
0.0,3,12.68149
1.0,4,12.699284
0.0,3,12.711056
0.0,1,12.72279
0.0,3,12.7351
1.0,10,12.763861
1.0,4,12.780921
1.0,5,12.797607
0.0,1,12.806084
1.0,8,12.832781
1.0,6,12.851546
1.0,4,12.869062
2.0,10,12.90035
1.0,4,12.916738
0.0,3,12.927924
0.0,3,12.941563
0.0,3,12.955471
0.0,2,12.967396
0.0,1,12.97594
0.0,1,12.984564
1.0,5,13.004352
1.0,8,13.031075
0.0,2,13.041953
0.0,1,13.050104
1.0,7,13.075161
1.0,4,13.090413
0.0,4,13.104155
0.0,3,13.117624
1.0,5,13.136831
1.0,9,13.166821
0.0,3,13.176377
0.0,2,13.188964
0.0,3,13.201355
1.0,7,13.227245
1.0,5,13.247585
0.0,1,13.25595
0.0,1,13.264151
0.0,1,13.271793
1.0,5,13.289429
0.0,1,13.300069
0.0,2,13.310386
1.0,4,13.327863
1.0,15,13.370516
1.0,4,13.387002
1.0,5,13.406443
1.0,7,13.428267
1.0,9,13.456504
0.0,2,13.465667
1.0,3,13.479666
1.0,6,13.499544
0.0,1,13.508174
1.0,4,13.525499
0.0,1,13.534847
0.0,1,13.542754
0.0,1,13.554131
0.0,3,13.566585
1.0,5,13.581637
1.0,4,13.598511
1.0,6,13.619297
2.0,10,13.649386
0.0,2,13.661458
0.0,1,13.669209
1.0,7,13.692613
1.0,5,13.711254
0.0,4,13.728357
1.0,3,13.742274
1.0,6,13.762998
1.0,6,13.784461
0.0,5,13.80176
0.0,5,13.817192
0.0,5,13.833874
0.0,1,13.841931
1.0,5,13.86096
0.0,3,13.875806
1.0,5,13.892624
1.0,5,13.912474
1.0,3,13.924654
0.0,4,13.940485
0.0,1,13.948804
0.0,3,13.964653
0.0,5,13.983103
0.0,2,13.992784
0.0,4,14.00918
0.0,2,14.020897
0.0,3,14.033247
1.0,8,14.060051
1.0,9,14.089083
2.0,7,14.111043
2.0,6,14.128693
1.0,6,14.150485
0.0,3,14.165526
0.0,3,14.180753
0.0,2,14.191811
0.0,2,14.202478
0.0,3,14.217264
1.0,5,14.235568
1.0,10,14.263727
0.0,2,14.273483
1.0,4,14.291311
0.0,3,14.306549
2.0,7,14.328821
1.0,4,14.345967
1.0,4,14.362286
0.0,1,14.370218
0.0,1,14.379141
0.0,1,14.387233
0.0,3,14.402234
0.0,1,14.411294
0.0,1,14.419958
1.0,4,14.437048
0.0,1,14.446001
1.0,6,14.470419
0.0,3,14.483384
1.0,4,14.499148
0.0,1,14.507594
0.0,3,14.521361
0.0,3,14.535005
0.0,3,14.550263
1.0,8,14.57551
0.0,1,14.583574
0.0,3,14.59389
0.0,3,14.607542
1.0,6,14.629063
0.0,6,14.650453
0.0,2,14.662456
0.0,3,14.673154
0.0,3,14.685807
2.0,8,14.70971
0.0,3,14.723419
1.0,7,14.747213
0.0,2,14.757834
0.0,1,14.766956
1.0,7,14.792367
1.0,10,14.82018
1.0,6,14.841328
0.0,9,14.868636
0.0,3,14.879723
1.0,5,14.899425
1.0,9,14.927792
0.0,2,14.93784
1.0,4,14.954347
1.0,3,14.969141
1.0,6,14.988654
0.0,5,15.00649
1.0,7,15.028787
1.0,6,15.050728
1.0,4,15.065696
3.0,11,15.100871
0.0,6,15.12188
0.0,4,15.136123
1.0,6,15.157948
0.0,3,15.168766
1.0,5,15.184577
0.0,2,15.195912
0.0,3,15.209843
0.0,5,15.227562
0.0,3,15.242512
0.0,3,15.257805
1.0,6,15.277889
1.0,6,15.299249
0.0,1,15.306981
0.0,1,15.315095
2.0,9,15.34099
0.0,2,15.354008
0.0,1,15.362754
1.0,5,15.381165
2.0,7,15.403555
2.0,7,15.42755
0.0,1,15.436695
1.0,4,15.452566
0.0,2,15.462683
0.0,3,15.476178
1.0,7,15.497154
2.0,8,15.523961
0.0,2,15.53366
0.0,2,15.543305
0.0,1,15.554258
0.0,9,15.576197
0.0,2,15.590736
1.0,6,15.609931
1.0,3,15.624669
1.0,5,15.644799
1.0,4,15.658336
1.0,6,15.680352
1.0,4,15.694297
0.0,1,15.704624
0.0,3,15.71621
1.0,3,15.730496
1.0,9,15.760544
1.0,4,15.77418
0.0,5,15.792031
1.0,4,15.809013
0.0,2,15.821266
0.0,5,15.837793
0.0,5,15.854766
0.0,2,15.86486
0.0,1,15.873207
0.0,2,15.88473
1.0,4,15.90071
1.0,4,15.914092
0.0,1,15.922308
1.0,6,15.943933
0.0,1,15.95245
0.0,2,15.961009
0.0,5,15.98053
0.0,1,15.990501
0.0,1,16.001874
3.0,11,16.035732
2.0,13,16.068506
0.0,6,16.08833
1.0,4,16.102971
0.0,3,16.118122
0.0,2,16.128634
0.0,2,16.140455
2.0,14,16.181037
1.0,6,16.200857
0.0,3,16.214
0.0,1,16.224755
1.0,3,16.236447
0.0,1,16.245354
0.0,3,16.258517
2.0,7,16.280068
2.0,8,16.304001
0.0,2,16.312649
0.0,1,16.324002
0.0,6,16.343515
1.0,7,16.365996
2.0,11,16.397592
1.0,5,16.417792
0.0,1,16.428198
0.0,3,16.441167
1.0,7,16.466981
0.0,2,16.478102
1.0,6,16.496387
0.0,3,16.51284
0.0,2,16.521877
0.0,1,16.530187
1.0,6,16.552149
1.0,5,16.571742
1.0,8,16.595991
0.0,2,16.608006
1.0,6,16.629162
1.0,8,16.652839
2.0,8,16.679079
0.0,2,16.689193
0.0,3,16.702548
0.0,2,16.712377
0.0,6,16.731821
0.0,7,16.751316
0.0,2,16.760289
1.0,6,16.783208
0.0,1,16.791169
0.0,1,16.800445
0.0,1,16.808771
2.0,8,16.836982
0.0,3,16.849227
0.0,6,16.872844
0.0,1,16.880837
2.0,10,16.913543
1.0,4,16.929186
0.0,2,16.939154
0.0,6,16.956402
1.0,5,16.975181
1.0,12,17.013423
1.0,6,17.034001
1.0,6,17.055564
1.0,13,17.090804
1.0,7,17.114748
0.0,2,17.126711
0.0,3,17.143157
0.0,3,17.15833
0.0,3,17.17078
1.0,13,17.2059
0.0,2,17.215303
1.0,6,17.234524
0.0,2,17.247109
0.0,1,17.255489
0.0,3,17.271633
1.0,6,17.292248
0.0,3,17.303109
0.0,2,17.316007
2.0,7,17.339249
1.0,5,17.358361
0.0,1,17.365799
0.0,4,17.382018
0.0,1,17.389857
1.0,9,17.41824
0.0,9,17.440982
0.0,6,17.459444
1.0,6,17.480831
0.0,3,17.494952
0.0,1,17.503543
0.0,2,17.515619
1.0,6,17.536398
1.0,4,17.552981
1.0,8,17.57659
2.0,7,17.601759
1.0,7,17.621344
0.0,1,17.630349
0.0,2,17.641434
0.0,2,17.650678
0.0,3,17.664665
0.0,3,17.675729
1.0,6,17.696548
0.0,1,17.707048
1.0,5,17.724374
0.0,3,17.736346
1.0,4,17.753146
1.0,4,17.768385
1.0,6,17.790379
0.0,3,17.805219
0.0,1,17.812625
0.0,4,17.82985
2.0,8,17.852808
0.0,1,17.862401
