#{"t_start": 1653441351.095671, "env_id": null}
r,l,t
0.0,1,4.649765
0.0,1,4.657432
0.0,1,4.666552
1.0,7,4.685335
0.0,1,4.693409
0.0,2,4.702993
0.0,1,4.710571
0.0,1,4.719976
0.0,3,4.731887
0.0,3,4.744246
0.0,3,4.756036
0.0,2,4.766776
1.0,3,4.779335
0.0,1,4.787894
1.0,3,4.799434
1.0,3,4.812672
0.0,3,4.824619
0.0,4,4.838577
1.0,4,4.851919
0.0,1,4.860276
0.0,1,4.869
0.0,2,4.877857
0.0,1,4.886849
0.0,3,4.899838
0.0,4,4.91329
0.0,1,4.921609
1.0,5,4.938116
0.0,1,4.947104
0.0,1,4.955354
0.0,1,4.963933
0.0,2,4.973817
0.0,1,4.982065
0.0,2,4.993094
0.0,4,5.00759
0.0,5,5.024478
0.0,3,5.035519
1.0,6,5.052398
0.0,1,5.060943
0.0,2,5.071659
0.0,1,5.07992
0.0,1,5.08812
0.0,3,5.100551
0.0,1,5.108888
0.0,1,5.117266
0.0,1,5.125743
0.0,1,5.134691
0.0,3,5.146928
0.0,3,5.15948
0.0,2,5.168995
0.0,2,5.180237
0.0,3,5.191467
0.0,2,5.20255
0.0,2,5.212183
0.0,2,5.222355
0.0,2,5.231565
1.0,5,5.248963
0.0,2,5.260059
0.0,1,5.269929
0.0,1,5.27784
0.0,1,5.287136
0.0,3,5.299958
0.0,1,5.308305
0.0,6,5.325842
0.0,2,5.337528
1.0,4,5.351741
0.0,3,5.363686
0.0,3,5.374865
0.0,4,5.388745
0.0,3,5.400244
0.0,3,5.412004
0.0,2,5.421738
0.0,3,5.434407
0.0,1,5.443006
0.0,1,5.451841
0.0,3,5.463627
0.0,2,5.473785
1.0,8,5.493114
0.0,1,5.502093
0.0,1,5.51036
0.0,1,5.519509
0.0,2,5.529241
0.0,1,5.538283
1.0,6,5.556019
0.0,1,5.565744
0.0,2,5.575535
1.0,5,5.59286
0.0,1,5.601449
0.0,3,5.61081
0.0,2,5.62142
0.0,3,5.634184
1.0,8,5.656811
0.0,2,5.667099
0.0,4,5.680277
0.0,1,5.688833
0.0,3,5.700636
0.0,1,5.708951
0.0,1,5.716645
0.0,1,5.725734
1.0,5,5.741337
1.0,3,5.755073
0.0,1,5.763436
1.0,5,5.778686
0.0,1,5.787363
0.0,1,5.796134
0.0,3,5.806554
0.0,3,5.817994
1.0,7,5.836096
0.0,4,5.85039
0.0,1,5.858971
0.0,2,5.869428
0.0,1,5.877264
0.0,1,5.885846
0.0,1,5.894149
0.0,2,5.904291
0.0,3,5.915152
0.0,3,5.92682
0.0,1,5.934793
1.0,7,5.952583
0.0,1,5.961708
0.0,7,5.979587
0.0,1,5.98822
0.0,1,5.996899
1.0,6,6.014324
0.0,6,6.031755
0.0,2,6.043019
0.0,1,6.052031
0.0,5,6.067975
2.0,10,6.094194
0.0,2,6.103385
0.0,1,6.112578
0.0,2,6.122428
1.0,8,6.143032
0.0,2,6.154062
0.0,3,6.16739
1.0,5,6.180805
2.0,10,6.206456
0.0,2,6.216989
0.0,1,6.225634
0.0,1,6.234484
0.0,3,6.24792
0.0,1,6.255764
0.0,1,6.26405
1.0,9,6.286014
1.0,6,6.302882
0.0,2,6.31354
0.0,5,6.330993
0.0,2,6.34171
0.0,1,6.350411
0.0,1,6.35935
0.0,1,6.367288
0.0,2,6.377365
0.0,3,6.390102
1.0,3,6.402011
0.0,1,6.410455
1.0,4,6.424546
0.0,2,6.43467
1.0,4,6.448528
0.0,1,6.456646
0.0,7,6.474439
1.0,3,6.487316
0.0,2,6.497369
0.0,3,6.510587
0.0,3,6.521828
0.0,1,6.530213
1.0,3,6.542255
0.0,1,6.549979
0.0,1,6.5588
0.0,3,6.570982
0.0,2,6.58091
1.0,9,6.604071
0.0,4,6.616266
3.0,10,6.640428
1.0,4,6.654872
0.0,3,6.667335
0.0,1,6.675952
1.0,4,6.690069
0.0,2,6.700222
0.0,2,6.711137
0.0,8,6.731662
0.0,2,6.741718
0.0,1,6.750582
0.0,1,6.759352
0.0,2,6.769729
0.0,4,6.782735
0.0,2,6.791772
0.0,4,6.805619
0.0,3,6.818543
1.0,5,6.83373
0.0,2,6.843415
0.0,1,6.852026
0.0,2,6.862084
0.0,1,6.870774
0.0,2,6.880434
0.0,1,6.889027
0.0,3,6.901552
0.0,2,6.911942
1.0,4,6.925701
0.0,1,6.93501
0.0,1,6.943722
0.0,1,6.953193
0.0,1,6.961061
0.0,2,6.971746
0.0,3,6.984228
0.0,1,6.993127
0.0,2,7.00297
0.0,3,7.016003
1.0,3,7.028606
0.0,3,7.042346
0.0,1,7.050047
0.0,1,7.058497
0.0,3,7.069379
1.0,6,7.087522
0.0,2,7.097513
0.0,1,7.105919
0.0,6,7.123334
1.0,5,7.140459
1.0,6,7.158066
0.0,1,7.165986
0.0,3,7.178654
0.0,1,7.186976
0.0,2,7.197951
0.0,1,7.206315
0.0,1,7.214834
0.0,4,7.226466
0.0,2,7.237179
